Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1580.57099064,OUT049
FDW14,1448.56881179,OUT017
NCN55,573.801231061,OUT010
FDQ58,2486.95042653,OUT017
FDY38,5866.20685047,OUT027
FDH56,1927.63914736,OUT046
FDL48,732.906050444,OUT018
FDC48,2069.15670743,OUT027
FDN33,1535.63062563,OUT045
FDA36,3062.68690269,OUT017
FDT44,1948.87855539,OUT017
FDQ56,1453.28749515,OUT045
NCC54,573.232015264,OUT019
FDU11,2018.86280356,OUT049
DRL59,787.794946158,OUT013
FDM24,2470.68275157,OUT049
FDI57,3111.42959413,OUT045
DRC12,3059.96129984,OUT018
NCM42,2917.22947561,OUT027
FDA46,516.006519208,OUT010
FDA31,2851.98521375,OUT013
NCJ31,3872.5835741,OUT035
FDG52,760.961529884,OUT046
NCL19,286.768829475,OUT019
FDS10,3006.10088225,OUT035
FDX22,564.236831148,OUT010
NCF19,760.961529884,OUT035
NCE06,2554.34065004,OUT046
DRC27,3880.32726822,OUT046
FDE21,1927.63914736,OUT035
NCR42,130.91771891,OUT019
FDX51,3059.96129984,OUT018
NCR06,655.130215717,OUT018
FDU31,5866.20685047,OUT027
FDU59,2563.6855231,OUT017
FDR03,5865.37538751,OUT027
FDS49,1985.0466788,OUT027
FDD48,268.77735645,OUT010
NCF18,3062.68690269,OUT017
NCD43,2865.6849603,OUT027
NCD54,2133.58099762,OUT018
FDY19,268.673626499,OUT010
NCY54,2851.98521375,OUT017
NCL19,2453.29370937,OUT018
FDP23,570.114052193,OUT010
FDC26,1723.8463554,OUT013
FDR14,130.91771891,OUT010
NCS41,3062.68690269,OUT035
FDF41,3895.97023153,OUT035
FDU34,2021.21602276,OUT046
DRH11,963.645744133,OUT046
FDM03,1580.57099064,OUT013
FDS31,3016.28493832,OUT017
FDJ20,2018.86280356,OUT017
FDV44,5113.60578467,OUT027
FDG02,3062.68690269,OUT049
FDA09,2946.33394989,OUT013
FDT04,653.45056115,OUT013
FDL58,571.811374416,OUT019
FDE52,1496.60834893,OUT045
FDW12,2453.29370937,OUT035
FDL51,3684.60365475,OUT017
NCY42,3020.60833802,OUT027
FDR07,1533.78989619,OUT017
FDN40,2474.36446844,OUT045
FDB35,2679.69849925,OUT027
FDA22,2565.02672985,OUT017
NCL06,4053.36206235,OUT046
FDI35,3016.28493832,OUT013
NCW42,3776.13933929,OUT045
NCX06,2957.10099287,OUT049
FDC37,2887.84399777,OUT027
FDZ14,2018.86280356,OUT018
DRG49,3880.74406705,OUT049
NCG06,4024.87313943,OUT045
DRC36,2851.98521375,OUT045
